numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
82,Jo,18,CSKA Moscow,Corinthians,Premier Liga,Serie A,5.00.,2005,
83,Rafinha,19,FC Schalke 04,Coritiba FC,1.Bundesliga,Serie A,5.00.,2005,
84,Jeremy Mathieu,21,Toulouse,FC Sochaux,Ligue 1,Ligue 1,5.00.,2005,
85,Carlos Diogo,21,Real Madrid,River Plate,LaLiga,Torneo Inicial,5.00.,2005,
86,Thomas Kahlenberg,22,AJ Auxerre,Brondby IF,Ligue 1,Superligaen,5.00.,2005,
87,Barreto,19,Udinese Calcio,Treviso,Serie A,Serie A,5.00.,2005,
88,Michele Canini,20,Cagliari Calcio,Atalanta,Serie A,Serie B,5.00.,2005,
89,El-Hadji Diouf,24,Bolton,Liverpool,Premier League,Premier League,4.80.,2005,
90,Wilfred Bouma,27,Aston Villa,PSV Eindhoven,Premier League,Eredivisie,4.70.,2005,
91,Tom Huddlestone,18,Spurs,Derby,Premier League,Championship,4.70.,2005,
92,Mikael Forssell,24,Birmingham,Chelsea,Premier League,Premier League,4.50.,2005,
93,Mozart,25,Spartak Moscow,Reggina,Premier Liga,Serie A,4.50.,2005,
94,Igor Semshov,27,Dinamo Moscow,Torpedo Moscow,Premier Liga,Premier Liga,4.50.,2005,
95,Martin Stranzl,25,Spartak Moscow,VfB Stuttgart,Premier Liga,1.Bundesliga,4.50.,2005,
96,Darren Bent,21,Charlton,Ipswich,Premier League,Championship,4.50.,2005,
97,Nathan Ellington,24,West Brom,Wigan,Premier League,Premier League,4.50.,2005,
98,Lima,23,Ittihad,Atletico-PR,Saudi Arabia,Serie A,4.50.,2005,
99,Curtis Davies,20,West Brom,Luton Town,Premier League,Championship,4.50.,2005,
100,Lassana Diarra,20,Chelsea,AC Le Havre,Premier League,Ligue 2,4.50.,2005,
101,Shunsuke Nakamura,27,Celtic,Reggina,Premiership,Serie A,4.20.,2005,
102,Ruslan Rotan,23,Dynamo Kyiv,Dnipro,Premier Liga,Premier Liga,4.20.,2005,
103,Emiliano Bonazzoli,26,Parma,Reggina,Serie A,Serie A,4.15.,2005,
104,Robert Earnshaw,24,Norwich,West Brom,Championship,Premier League,4.13.,2005,
105,Costinha,30,Dinamo Moscow,FC Porto,Premier Liga,Liga NOS,4.00.,2005,
106,Per Kroldrup,26,Fiorentina,Everton,Serie A,Premier League,4.00.,2005,
107,Cicinho,25,Real Madrid,Sao Paulo,LaLiga,Serie A,4.00.,2005,
108,Edwin van der Sar,34,Man Utd,Fulham,Premier League,Premier League,4.00.,2005,
109,Pablo Garcia,28,Real Madrid,CA Osasuna,LaLiga,LaLiga,4.00.,2005,
110,Reinaldo,26,Kashiwa Reysol,Paris SG,J1 League,Ligue 1,4.00.,2005,
111,Simon Vukcevic,19,Saturn,Partizan,Premier Liga,SuperLiga,4.00.,2005,
112,Andreas Ivanschitz,22,RB Salzburg,Rapid Vienna,Bundesliga,Bundesliga,4.00.,2005,
113,Vladimir Bystrov,21,Spartak Moscow,Zenit S-Pb,Premier Liga,Premier Liga,4.00.,2005,
114,Eduardo Costa,22,Espanyol,Marseille,LaLiga,Ligue 1,4.00.,2005,
115,Lorik Cana,22,Marseille,Paris SG,Ligue 1,Ligue 1,4.00.,2005,
116,Mike Hanke,21,VfL Wolfsburg,FC Schalke 04,1.Bundesliga,1.Bundesliga,4.00.,2005,
117,Alex Song,17,Arsenal,SC Bastia,Premier League,Ligue 2,4.00.,2005,
118,Aleksandr Samedov,20,Loko Moscow,Spartak Moscow,Premier Liga,Premier Liga,4.00.,2005,
119,Patrick Muller,29,Olympique Lyon,FC Basel,Ligue 1,Super League,3.80.,2005,
120,Yossi Benayoun,25,West Ham,Racing,Premier League,LaLiga,3.75.,2005,
121,Tolga Seyhan,28,Shakhtar D.,Trabzonspor,Premier Liga,Super Lig,3.75.,2005,
122,Paul Scharner,25,Wigan,SK Brann,Premier League,Eliteserien,3.67.,2005,
123,Darius Vassell,25,Man City,Aston Villa,Premier League,Premier League,3.60.,2005,
124,Elvis Abbruscato,25,Torino,Arezzo,Serie B,Serie B,3.60.,2005,
125,Ewerthon,24,Real Zaragoza,Bor. Dortmund,LaLiga,1.Bundesliga,3.50.,2005,
126,Ailton,32,Besiktas,FC Schalke 04,Super Lig,1.Bundesliga,3.50.,2005,
127,Deivid,25,Sporting CP,Santos FC,Liga NOS,Serie A,3.50.,2005,
128,Grzegorz Rasiak,26,Spurs,Derby,Premier League,Championship,3.50.,2005,
129,Thiago Silva,20,Dinamo Moscow,FC Porto,Premier Liga,Liga NOS,3.50.,2005,
130,Alberto Rivera,27,Real Betis,Levante UD,LaLiga,LaLiga2,3.50.,2005,
131,Grafite,26,Le Mans,Sao Paulo,Ligue 1,Serie A,3.50.,2005,
132,Jonas Gutierrez,22,RCD Mallorca,CA Velez,LaLiga,Torneo Inicial,3.50.,2005,
133,Pablo Zabaleta,20,Espanyol,San Lorenzo,LaLiga,Torneo Inicial,3.50.,2005,
134,Bryan Bergougnoux,22,Toulouse,Olympique Lyon,Ligue 1,Ligue 1,3.40.,2005,
135,Filip Holosko,22,Manisaspor,Slovan Liberec,Super Lig,HET Liga,3.30.,2005,
136,Tomas Jun,22,Trabzonspor,Sparta Praha,Super Lig,HET Liga,3.25.,2005,
137,Danny Murphy,28,Spurs,Charlton,Premier League,Premier League,3.21.,2005,
138,Vikash Dhorasoo,31,Paris SG,AC Milan,Ligue 1,Serie A,3.20.,2005,
139,Fran Merida,15,Arsenal U18,Barcelona Yth.,England,Spain,3.20.,2005,
140,Maciej Zurawski,28,Celtic,Wisla Krakow,Premiership,Ekstraklasa,3.10.,2005,
141,Clinton Morrison,26,Crystal Palace,Birmingham,Championship,Premier League,3.00.,2005,
142,Jesper Gronkjaer,27,VfB Stuttgart,Atletico Madrid,1.Bundesliga,LaLiga,3.00.,2005,
143,Santos,26,Toulouse,FC Sochaux,Ligue 1,Ligue 1,3.00.,2005,
144,Aruna Dindane,24,Lens,RSC Anderlecht,Ligue 1,Jupiler Pro League,3.00.,2005,
145,Albert Riera,23,Espanyol,G. Bordeaux,LaLiga,Ligue 1,3.00.,2005,
146,Frederic Piquionne,26,Saint-Etienne,Stade Rennais,Ligue 1,Ligue 1,3.00.,2005,
147,Pascal Feindouno,24,Saint-Etienne,G. Bordeaux,Ligue 1,Ligue 1,3.00.,2005,
148,Fabrice Pancrate,25,Paris SG,Le Mans,Ligue 1,Ligue 1,3.00.,2005,
149,Alou Diarra,23,Lens,Liverpool,Ligue 1,Premier League,3.00.,2005,
150,Grzegorz Rasiak,26,Southampton,Spurs,Championship,Premier League,3.00.,2005,
151,Andrew O'Brien,26,Portsmouth FC,Newcastle,Premier League,Premier League,3.00.,2005,
152,Mohamed Zidan,23,Werder Bremen,FC Midtjylland,1.Bundesliga,Superligaen,3.00.,2005,
153,Erik Edman,26,Stade Rennais,Spurs,Ligue 1,Premier League,3.00.,2005,
154,Abou Diaby,19,Arsenal,AJ Auxerre,Premier League,Ligue 1,3.00.,2005,
155,Sergey Semak,29,FK Moskau,Paris SG,Premier Liga,Ligue 1,3.00.,2005,
156,David Rozehnal,25,Paris SG,Club Brugge,Ligue 1,Jupiler Pro League,3.00.,2005,
157,Luis Garcia,24,Espanyol,RCD Mallorca,LaLiga,LaLiga,3.00.,2005,
158,Hossam Ghaly,24,Spurs,Feyenoord,Premier League,Eredivisie,3.00.,2005,
159,Moumouni Dagano,24,FC Sochaux,Guingamp,Ligue 1,Ligue 2,3.00.,2005,
160,Marcus Bent,27,Charlton,Everton,Premier League,Premier League,3.00.,2005,
161,Wayne Routledge,20,Spurs,Crystal Palace,Premier League,Championship,3.00.,2005,
162,David Connolly,28,Wigan,Leicester,Premier League,Championship,3.00.,2005,
163,Emir Spahic,25,Loko Moscow,Torpedo Moscow,Premier Liga,Premier Liga,3.00.,2005,
164,Leonardo Pisculichi,21,RCD Mallorca,Argentinos,LaLiga,Torneo Inicial,3.00.,2005,
165,Claudio Maldonado,26,Santos FC,Cruzeiro,Serie A,Serie A,3.00.,2005,
166,Carlos Vela,16,Arsenal,Guadalajara,Premier League,Mexico,3.00.,2005,
167,Alessandro Gamberini,23,Fiorentina,Bologna,Serie A,Serie B,3.00.,2005,
168,Amr Zaki,22,Loko Moscow,Enppi,Premier Liga,Premier League,3.00.,2005,
169,Sebastian Taborda,24,Dep. La Coruna,Defensor,LaLiga,Uruguay,3.00.,2005,
170,Abdul Kader Keita,23,LOSC Lille,Al-Sadd,Ligue 1,Qatar,3.00.,2005,
171,Leandro Fernandez,22,Dinamo Moscow,River Plate,Premier Liga,Torneo Inicial,3.00.,2005,
172,Aleksandr Anyukov,22,Zenit S-Pb,KS Samara,Premier Liga,Premier Liga,3.00.,2005,
173,Aritz Aduriz,24,Athletic Bilbao,Real Valladolid,LaLiga,LaLiga2,3.00.,2005,
174,Mikel Arteta,23,Everton,Real Sociedad,Premier League,LaLiga,2.80.,2005,
175,Emanuel Pogatetz,22,Middlesbrough,Bay. Leverkusen,Premier League,1.Bundesliga,2.71.,2005,
176,Jon Stead,22,Sunderland,Blackburn,Premier League,Premier League,2.70.,2005,
177,Julio dos Santos,22,Bayern Munich,Cerro Porteno,1.Bundesliga,Paraguay,2.70.,2005,
178,Yaya Toure,22,Olympiacos,Metalurh D.,Super League,Premier Liga,2.70.,2005,
179,Dennis Oliech,20,FC Nantes,Al-Arabi,Ligue 1,Qatar,2.70.,2005,
180,Ade Akinbiyi,31,Sheffield Utd.,Burnley,Championship,Championship,2.63.,2005,
181,Kleberson,26,Besiktas,Man Utd,Super Lig,Premier League,2.60.,2005,
182,Enzo Maresca,25,Sevilla FC,Juventus,LaLiga,Serie A,2.50.,2005,
183,Franca,29,Kashiwa Reysol,Bay. Leverkusen,J1 League,1.Bundesliga,2.50.,2005,
184,Luis Jimenez,21,Fiorentina,Ternana,Serie A,Serie B,2.50.,2005,
185,Shinji Ono,26,Urawa Reds,Feyenoord,J1 League,Eredivisie,2.50.,2005,
186,Wesley Sonck,26,Bor. M'gladbach,AFC Ajax,1.Bundesliga,Eredivisie,2.50.,2005,
187,Thimothee Atouba,23,Hamburger SV,Spurs,1.Bundesliga,Premier League,2.50.,2005,
188,Nicolas Frutos,24,RSC Anderlecht,Independiente,Jupiler Pro League,Torneo Inicial,2.50.,2005,
189,Lukas Zelenka,26,Manisaspor,Sparta Praha,Super Lig,HET Liga,2.50.,2005,
190,Takayuki Suzuki,29,Red Star,Kashima Antlers,SuperLiga,J1 League,2.50.,2005,
191,Nuno Espirito Santo,31,Dinamo Moscow,FC Porto,Premier Liga,Liga NOS,2.50.,2005,
192,Bakari Kone,23,OGC Nice,FC Lorient,Ligue 1,Ligue 2,2.50.,2005,
193,Luciano Galletti,25,Atletico Madrid,Real Zaragoza,LaLiga,LaLiga,2.50.,2005,
194,Nunes,28,RCD Mallorca,Braga,LaLiga,Liga NOS,2.50.,2005,
195,Mark Gonzalez,21,Liverpool,Albacete,Premier League,LaLiga2,2.50.,2005,
196,Ron Vlaar,20,Feyenoord,AZ Alkmaar,Eredivisie,Eredivisie,2.50.,2005,
197,Morten Skoubo,25,Real Sociedad,Brondby IF,LaLiga,Superligaen,2.50.,2005,
198,Jorge Luis,29,Dinamo Moscow,Braga,Premier Liga,Liga NOS,2.50.,2005,
199,Bostjan Cesar,22,Marseille,Dinamo Zagreb,Ligue 1,1.HNL,2.50.,2005,
200,Quincy Owusu-Abeyie,19,Spartak Moscow,Arsenal,Premier Liga,Premier League,2.50.,2005,
201,Felipe,27,Al-Sadd,Fluminense,Qatar,Serie A,2.50.,2005,
202,Edixon Perea,21,G. Bordeaux,Atl. Nacional,Ligue 1,Colombia,2.50.,2005,
203,Federico Insua,25,Boca Juniors,Independiente,Torneo Inicial,Torneo Inicial,2.48.,2005,
204,Naldo,22,Werder Bremen,Juventude,1.Bundesliga,Serie A,2.40.,2005,
205,Garry O'Connor,22,Loko Moscow,Hibernian FC,Premier Liga,Premiership,2.40.,2005,
206,Jhon Viafara,26,Portsmouth FC,Once Caldas,Premier League,Colombia,2.40.,2005,
207,Laurent Robert,30,Portsmouth FC,Newcastle,Premier League,Premier League,2.30.,2005,
208,Lisandro Lopez,22,FC Porto,Racing Club,Liga NOS,Torneo Inicial,2.30.,2005,
209,Michael Brown,28,Fulham,Spurs,Premier League,Premier League,2.30.,2005,
210,Soren Larsen,23,FC Schalke 04,Djurgardens IF,1.Bundesliga,Allsvenskan,2.30.,2005,
211,Nolberto Solano,31,Newcastle,Aston Villa,Premier League,Premier League,2.25.,2005,
212,Paul Konchesky,24,West Ham,Charlton,Premier League,Premier League,2.25.,2005,
213,Diomansy Kamara,24,West Brom,Modena FC,Premier League,Serie B,2.25.,2005,
214,Darren Carter,21,West Brom,Birmingham,Premier League,Premier League,2.25.,2005,
215,Marek Heinz,28,Galatasaray,Bor. M'gladbach,Super Lig,1.Bundesliga,2.25.,2005,
216,Damien Francis,26,Wigan,Norwich,Premier League,Championship,2.25.,2005,
217,John Welsh,21,Hull City,Liverpool,Championship,Premier League,2.25.,2005,
218,Gustavo Nery,27,Corinthians,Werder Bremen,Serie A,1.Bundesliga,2.20.,2005,
219,Adam Virgo,22,Celtic,Brighton,Premiership,Championship,2.20.,2005,
220,Ivica Dragutinovic,29,Sevilla FC,Standard Liege,LaLiga,Jupiler Pro League,2.10.,2005,
221,Santiago Solari,28,Inter,Real Madrid,Serie A,LaLiga,2.00.,2005,
222,Nuno Valente,30,Everton,FC Porto,Premier League,Liga NOS,2.00.,2005,
223,Diego Milito,26,Real Zaragoza,Genoa,LaLiga,Serie C - A,2.00.,2005,
224,Young-Pyo Lee,28,Spurs,PSV Eindhoven,Premier League,Eredivisie,2.00.,2005,
225,Rabiu Afolabi,25,FC Sochaux,Austria Vienna,Ligue 1,Bundesliga,2.00.,2005,
226,Tomasz Frankowski,31,Wolves,Elche CF,Championship,LaLiga2,2.00.,2005,
227,Nilmar,21,Corinthians,Olympique Lyon,Serie A,Ligue 1,2.00.,2005,
228,Patrick Owomoyela,25,Werder Bremen,Arm. Bielefeld,1.Bundesliga,1.Bundesliga,2.00.,2005,
229,Joao Alves,24,Sporting CP,Braga,Liga NOS,Liga NOS,2.00.,2005,
230,Sebastien Mazure,26,Saint-Etienne,SM Caen,Ligue 1,Ligue 2,2.00.,2005,
231,Sasa Ilic,27,Galatasaray,Partizan,Super Lig,SuperLiga,2.00.,2005,
232,Massimo Gobbi,25,Treviso,Cagliari Calcio,Serie A,Serie A,2.00.,2005,
233,Miguel Angel,26,Real Betis,Malaga CF,LaLiga,LaLiga,2.00.,2005,
234,Chun-Soo Lee,23,Ulsan,Real Sociedad,Korea, South,LaLiga,2.00.,2005
235,Martin Kamburov,25,Al-Ahli,Lok. Plovdiv,Qatar,Bulgaria,2.00.,2005,
236,Javier Arizmendi,21,Dep. La Coruna,Atletico Madrid,LaLiga,LaLiga,2.00.,2005,
237,Marian Had,23,Loko Moscow,Zbrojovka Brno,Premier Liga,HET Liga,2.00.,2005,
238,Martin Andresen,28,SK Brann,Stabaek IF,Eliteserien,OBOS-ligaen,2.00.,2005,
239,Eldin Jakupovic,21,Loko Moscow,Grasshoppers,Premier Liga,Super League,2.00.,2005,
240,Anthony Seric,26,Panathinaikos,Lazio,Super League,Serie A,2.00.,2005,
241,Danny Gabbidon,25,West Ham,Cardiff,Premier League,Championship,2.00.,2005,
242,James Collins,21,West Ham,Cardiff,Premier League,Championship,2.00.,2005,
243,Juan,23,Flamengo,Fluminense,Serie A,Serie A,2.00.,2005,
244,Heidar Helguson,27,Fulham,Watford,Premier League,Championship,2.00.,2005,
245,Pavel Pogrebnyak,22,Tom Tomsk,Spartak Moscow,Premier Liga,Premier Liga,2.00.,2005,
246,Ben Foster,22,Man Utd,Stoke City,Premier League,Championship,2.00.,2005,
247,Denis Kolodin,23,Dinamo Moscow,KS Samara,Premier Liga,Premier Liga,2.00.,2005,
248,Borges,25,Vegalta Sendai,Parana,Japan,Serie A,2.00.,2005,
249,Ognjen Koroman,26,Akhmat Grozny,KS Samara,Premier Liga,Premier Liga,2.00.,2005,
250,Daniel Bilos,24,Boca Juniors,CA Banfield,Torneo Inicial,Torneo Inicial,2.00.,2005,
1,Andriy Shevchenko,29,Chelsea,AC Milan,Premier League,Serie A,43.30.,2006,
2,Michael Carrick,25,Man Utd,Spurs,Premier League,Premier League,27.20.,2006,
3,Mahamadou Diarra,25,Real Madrid,Olympique Lyon,LaLiga,Ligue 1,26.00.,2006,
4,Joaquin,25,Valencia CF,Real Betis,LaLiga,LaLiga,25.00.,2006,
5,Zlatan Ibrahimovic,24,Inter,Juventus,Serie A,Serie B,24.80.,2006,
6,Sergio Aguero,18,Atletico Madrid,Independiente,LaLiga,Torneo Inicial,21.70.,2006,
7,Fernando Gago,20,Real Madrid,Boca Juniors,LaLiga,Torneo Inicial,20.50.,2006,
8,John Mikel Obi,19,Chelsea,FK Lyn,Premier League,Eliteserien,20.00.,2006,
9,Dirk Kuyt,26,Liverpool,Feyenoord,Premier League,Eredivisie,18.00.,2006,
10,Emerson,30,Real Madrid,Juventus,LaLiga,Serie B,16.00.,2006,
11,Obafemi Martins,21,Newcastle,Inter,Premier League,Serie A,16.00.,2006,
12,Dimitar Berbatov,25,Spurs,Bay. Leverkusen,Premier League,1.Bundesliga,15.70.,2006,
13,Damien Duff,27,Newcastle,Chelsea,Premier League,Premier League,15.50.,2006,
14,Ruud van Nistelrooy,30,Real Madrid,Man Utd,LaLiga,Premier League,15.00.,2006,
15,Ricardo Oliveira,26,AC Milan,Real Betis,Serie A,LaLiga,15.00.,2006,
16,Carlos Tevez,22,West Ham,Corinthians,Premier League,Serie A,14.60.,2006,
17,Javier Mascherano,22,West Ham,Corinthians,Premier League,Serie A,14.60.,2006,
18,Anatoliy Tymoshchuk,27,Zenit S-Pb,Shakhtar D.,Premier Liga,Premier Liga,14.50.,2006,
19,Gianluca Zambrotta,29,FC Barcelona,Juventus,LaLiga,Serie B,14.00.,2006,
20,Khalid Boulahrouz,24,Chelsea,Hamburger SV,Premier League,1.Bundesliga,13.20.,2006,
21,Ashley Young,21,Aston Villa,Watford,Premier League,Premier League,13.20.,2006,
22,David Pizarro,26,AS Roma,Inter,Serie A,Serie A,13.00.,2006,
23,Matthew Upson,27,West Ham,Birmingham,Premier League,Championship,12.60.,2006,
24,Didier Zokora,25,Spurs,Saint-Etienne,Premier League,Ligue 1,12.35.,2006,
25,Nicolas Anelka,27,Bolton,Fenerbahce,Premier League,Super Lig,12.00.,2006,
26,Eidur Gudjohnsen,27,FC Barcelona,Chelsea,LaLiga,Premier League,12.00.,2006,
27,Gonzalo Higuain,19,Real Madrid,River Plate,LaLiga,Torneo Inicial,12.00.,2006,
28,Pablo Aimar,26,Real Zaragoza,Valencia CF,LaLiga,LaLiga,11.00.,2006,
29,Cani,24,Villarreal CF,Real Zaragoza,LaLiga,LaLiga,11.00.,2006,
30,Andy Johnson,25,Everton,Crystal Palace,Premier League,Championship,11.00.,2006,
31,Vincent Kompany,20,Hamburger SV,RSC Anderlecht,1.Bundesliga,Jupiler Pro League,10.50.,2006,
32,Lukas Podolski,21,Bayern Munich,1. FC Koln,1.Bundesliga,2.Bundesliga,10.00.,2006,
33,Tomas Rosicky,25,Arsenal,Bor. Dortmund,Premier League,1.Bundesliga,10.00.,2006,
34,Francesco Tavano,27,Valencia CF,FC Empoli,LaLiga,Serie A,10.00.,2006,
35,Stiliyan Petrov,27,Aston Villa,Celtic,Premier League,Premiership,10.00.,2006,
36,Pascal Chimbonda,27,Spurs,Wigan,Premier League,Premier League,10.00.,2006,
37,Patrick Vieira,30,Inter,Juventus,Serie A,Serie B,9.50.,2006,
38,Jermaine Pennant,23,Liverpool,Birmingham,Premier League,Championship,9.10.,2006,
39,Maniche,28,Atletico Madrid,Dinamo Moscow,LaLiga,Premier Liga,9.00.,2006,
40,Craig Bellamy,26,Liverpool,Blackburn,Premier League,Premier League,9.00.,2006,
